10	-21.0
20	-21.0
30	-21.0
40	-21.0
50	-21.0
60	-20.0
70	-21.0
80	-21.0
90	-21.0
100	-21.0
110	-20.0
120	-19.0
130	-21.0
140	-21.0
150	-20.0
160	-20.0
170	-19.0
180	-19.0
190	-20.0
200	-16.0
210	-17.0
220	-17.0
230	-17.0
240	-17.0
250	-13.0
260	-18.0
270	-17.0
280	-19.0
290	-16.0
300	-19.0
310	-15.0
320	-16.0
330	-11.0
340	-16.0
350	-19.0
360	-11.0
370	-15.0
380	-12.0
390	-15.0
400	-12.0
410	-3.0
420	-13.0
430	-18.0
440	-17.0
450	-15.0
460	-13.0
470	-12.0
480	-17.0
490	-12.0
500	-15.0
510	-16.0
520	-15.0
530	-11.0
540	-15.0
550	-14.0
560	-16.0
570	-17.0
580	-14.0
590	-18.0
600	-12.0
610	-10.0
620	-18.0
630	-15.0
640	-17.0
650	-15.0
660	-10.0
670	-15.0
680	-15.0
690	-14.0
700	-13.0
710	1.0
720	-8.0
730	-17.0
740	-11.0
750	-19.0
760	-1.0
770	-11.0
780	-17.0
790	-13.0
800	-13.0
810	-9.0
820	-18.0
830	-11.0
840	-13.0
850	-12.0
860	-9.0
870	-16.0
880	-8.0
890	-12.0
900	-16.0
910	-11.0
920	2.0
930	-15.0
940	-7.0
950	-9.0
960	-14.0
970	-15.0
980	-12.0
990	-7.0
1000	-11.0
1010	-7.0
1020	-3.0
1030	-11.0
1040	-17.0
1050	-9.0
1060	-3.0
1070	-4.0
1080	-16.0
1090	-11.0
1100	-9.0
1110	1.0
1120	-11.0
1130	-13.0
1140	-17.0
1150	-12.0
1160	-4.0
1170	-13.0
1180	-8.0
1190	-8.0
1200	-10.0
1210	-11.0
1220	-9.0
1230	-10.0
1240	-6.0
1250	-10.0
1260	-10.0
1270	-1.0
1280	-17.0
1290	-12.0
1300	-11.0
1310	-5.0
1320	-11.0
1330	1.0
1340	-9.0
1350	2.0
1360	-4.0
1370	-9.0
1380	-12.0
1390	-3.0
1400	-11.0
1410	-11.0
1420	-14.0
1430	-13.0
1440	-10.0
1450	-8.0
1460	-7.0
1470	-14.0
1480	-6.0
1490	-3.0
1500	-10.0
36109.40285778046
