1000	0	[]
2000	628.0	[6, 10, 1, 9, 7, 8, 4, 12, 2, 13, 11, 0, 3, 14, 2]
3000	628.0	[6, 10, 1, 9, 7, 8, 4, 12, 2, 13, 11, 0, 3, 14, 2]
4000	640.0	[11, 13, 7, 8, 9, 6, 10, 3, 12, 2, 1, 4, 14, 0, 4]
5000	640.0	[11, 13, 7, 8, 9, 6, 10, 3, 12, 2, 1, 4, 14, 0, 4]
6000	640.0	[11, 13, 7, 8, 9, 6, 10, 3, 12, 2, 1, 4, 14, 0, 4]
7000	634.0	[2, 4, 1, 0, 12, 11, 9, 5, 13, 3, 7, 10, 6, 8, 10]
8000	590.0	[13, 2, 6, 4, 12, 7, 8, 14, 10, 11, 5, 3, 0, 9, 4]
9000	590.0	[13, 2, 6, 4, 12, 7, 8, 14, 10, 11, 5, 3, 0, 9, 4]
10000	652.0	[3, 13, 11, 14, 10, 12, 4, 0, 7, 1, 9, 2, 5, 6, 8]
11000	652.0	[3, 13, 11, 14, 10, 12, 4, 0, 7, 1, 9, 2, 5, 6, 8]
12000	652.0	[3, 13, 11, 14, 10, 12, 4, 0, 7, 1, 9, 2, 5, 6, 8]
13000	606.0	[9, 12, 7, 5, 4, 8, 11, 2, 13, 0, 6, 14, 1, 3, 10]
14000	606.0	[9, 12, 7, 5, 4, 8, 11, 2, 13, 0, 6, 14, 1, 3, 10]
15000	606.0	[9, 12, 7, 5, 4, 8, 11, 2, 13, 0, 6, 14, 1, 3, 10]
16000	606.0	[9, 12, 7, 5, 4, 8, 11, 2, 13, 0, 6, 14, 1, 3, 10]
17000	606.0	[9, 12, 7, 5, 4, 8, 11, 2, 13, 0, 6, 14, 1, 3, 10]
18000	606.0	[9, 12, 7, 5, 4, 8, 11, 2, 13, 0, 6, 14, 1, 3, 10]
19000	606.0	[9, 12, 7, 5, 4, 8, 11, 2, 13, 0, 6, 14, 1, 3, 10]
20000	606.0	[9, 12, 7, 5, 4, 8, 11, 2, 13, 0, 6, 14, 1, 3, 10]
21000	606.0	[9, 12, 7, 5, 4, 8, 11, 2, 13, 0, 6, 14, 1, 3, 10]
22000	606.0	[9, 12, 7, 5, 4, 8, 11, 2, 13, 0, 6, 14, 1, 3, 10]
23000	606.0	[9, 12, 7, 5, 4, 8, 11, 2, 13, 0, 6, 14, 1, 3, 10]
24000	606.0	[9, 12, 7, 5, 4, 8, 11, 2, 13, 0, 6, 14, 1, 3, 10]
