1000	0	[]
2000	0	[]
3000	0	[]
4000	0	[]
5000	0	[]
6000	0	[]
7000	0	[]
8000	0	[]
9000	0	[]
10000	0	[]
11000	0	[]
12000	0	[]
13000	0	[]
14000	0	[]
15000	0	[]
16000	0	[]
17000	0	[]
18000	0	[]
19000	0	[]
20000	0	[]
21000	712.0	[8, 12, 11, 14, 13, 1, 9, 2, 5, 6, 10, 3, 4, 7, 14]
22000	712.0	[8, 12, 11, 14, 13, 1, 9, 2, 5, 6, 10, 3, 4, 7, 14]
23000	712.0	[8, 12, 11, 14, 13, 1, 9, 2, 5, 6, 10, 3, 4, 7, 14]
24000	712.0	[8, 12, 11, 14, 13, 1, 9, 2, 5, 6, 10, 3, 4, 7, 14]
25000	712.0	[8, 12, 11, 14, 13, 1, 9, 2, 5, 6, 10, 3, 4, 7, 14]
26000	712.0	[8, 12, 11, 14, 13, 1, 9, 2, 5, 6, 10, 3, 4, 7, 14]
27000	712.0	[8, 12, 11, 14, 13, 1, 9, 2, 5, 6, 10, 3, 4, 7, 14]
28000	718.0	[6, 7, 2, 13, 0, 11, 12, 4, 9, 14, 3, 8, 1, 5, 11]
29000	718.0	[6, 7, 2, 13, 0, 11, 12, 4, 9, 14, 3, 8, 1, 5, 11]
30000	584.0	[8, 9, 0, 5, 2, 1, 14, 7, 13, 6, 11, 10, 3, 12, 12]
31000	584.0	[8, 9, 0, 5, 2, 1, 14, 7, 13, 6, 11, 10, 3, 12, 12]
32000	584.0	[8, 9, 0, 5, 2, 1, 14, 7, 13, 6, 11, 10, 3, 12, 12]
33000	584.0	[8, 9, 0, 5, 2, 1, 14, 7, 13, 6, 11, 10, 3, 12, 12]
34000	584.0	[8, 9, 0, 5, 2, 1, 14, 7, 13, 6, 11, 10, 3, 12, 12]
35000	584.0	[8, 9, 0, 5, 2, 1, 14, 7, 13, 6, 11, 10, 3, 12, 12]
36000	584.0	[8, 9, 0, 5, 2, 1, 14, 7, 13, 6, 11, 10, 3, 12, 12]
37000	584.0	[8, 9, 0, 5, 2, 1, 14, 7, 13, 6, 11, 10, 3, 12, 12]
